#Associated Gene Name	Strand	Ensembl Transcript ID	Transcription Start Site (TSS)	Chromosome Name
AC003092.1	1	ENST00000438538	94061141	7
AC003092.2	-1	ENST00000411946	94077157	7
AC003101.1	1	ENST00000412403	31571142	17
AC003658.1	-1	ENST00000408351	14765117	X
AC003664.1	-1	ENST00000440522	13306760	17
AC003666.1	-1	ENST00000410201	10216699	X
AC003681.1	1	ENST00000408809	29944206	22
AC003682.16	1	ENST00000599190	57625032	19
AC003968.1	1	ENST00000408491	126040229	7
AC003973.4	-1	ENST00000596778	22036315	19
AC003973.5	-1	ENST00000600071	22050005	19
AC003984.1	1	ENST00000450977	84532476	7
AC003984.1	1	ENST00000446000	84549206	7
AC003985.1	-1	ENST00000414127	25326815	7
AC003988.1	-1	ENST00000447198	80312456	7
AC004000.1	1	ENST00000580102	119424065	X
AC004000.2	1	ENST00000622657	119524455	X
AC004009.3	1	ENST00000412413	27361843	7
AC004012.1	1	ENST00000416593	95471835	7
AC004014.3	1	ENST00000413406	108909453	7
AC004016.1	1	ENST00000459086	24900812	7
AC004051.2	1	ENST00000500526	109303035	4
AC004052.1	-1	ENST00000401180	104278191	4
AC004053.2	1	ENST00000580856	104796128	4
AC004063.1	1	ENST00000508358	104556960	4
AC004069.2	-1	ENST00000504082	105140619	4
AC004070.1	-1	ENST00000458577	140216804	X
AC004079.1	1	ENST00000583152	27022537	7
AC004125.3	1	ENST00000567127	24236104	16
AC004125.3	1	ENST00000567624	24237982	16
AC004156.3	1	ENST00000591866	663482	19
AC004158.2	-1	ENST00000563770	72627686	16
AC004158.2	-1	ENST00000563823	72627686	16
AC004158.2	-1	ENST00000624829	72664947	16
AC004158.2	-1	ENST00000570152	72664949	16
AC004158.2	-1	ENST00000561611	72665004	16
AC004158.2	-1	ENST00000570035	72665009	16
AC004158.3	1	ENST00000564508	72425948	16
AC004158.3	1	ENST00000624327	72429353	16
AC004221.2	1	ENST00000592843	1238179	19
AC004257.1	-1	ENST00000593588	15222297	19
AC004448.2	1	ENST00000437646	19419035	17
AC004448.5	-1	ENST00000601694	19450417	17
AC004448.5	-1	ENST00000610229	19453421	17
AC004448.5	-1	ENST00000609396	19456307	17
AC004448.5	-1	ENST00000456537	19460735	17
AC004448.5	-1	ENST00000421796	19460984	17
AC004448.5	-1	ENST00000585389	19460992	17
AC004448.5	-1	ENST00000609249	19460995	17
AC004449.6	-1	ENST00000564240	637537	19
AC004458.1	-1	ENST00000459512	96468422	7
AC004460.1	1	ENST00000408452	30801306	15
AC004470.1	-1	ENST00000610749	22761390	X
AC004471.10	-1	ENST00000609936	19128449	22
AC004477.1	1	ENST00000620362	48048365	17
AC004492.1	1	ENST00000408429	107294885	7
AC004510.3	-1	ENST00000589310	15835787	19
AC004510.3	-1	ENST00000587970	15835853	19
AC004520.1	1	ENST00000577937	26060339	7
AC004535.2	1	ENST00000422697	10702676	7
AC004538.3	1	ENST00000599917	11181732	7
AC004538.3	1	ENST00000611449	11192760	7
AC004538.3	1	ENST00000428967	11193366	7
AC004538.3	1	ENST00000443459	11193366	7
AC004538.3	1	ENST00000428533	11197307	7
AC004538.3	1	ENST00000441110	11197307	7
AC004538.3	1	ENST00000599875	11227018	7
AC004538.3	1	ENST00000445839	11252980	7
AC004538.3	1	ENST00000421121	11253113	7
AC004538.3	1	ENST00000616268	11376996	7
AC004538.3	1	ENST00000595972	11378697	7
AC004540.5	1	ENST00000439120	26398593	7
AC004540.5	1	ENST00000421862	26398601	7
AC004540.5	1	ENST00000430548	26398601	7
AC004540.5	1	ENST00000449537	26398613	7
AC004540.5	1	ENST00000420774	26398652	7
AC004540.5	1	ENST00000448056	26440259	7
AC004541.1	-1	ENST00000612062	81294621	7
AC004543.1	1	ENST00000408649	19719388	7
AC004543.2	-1	ENST00000418764	19818090	7
AC004552.1	1	ENST00000584512	24348809	X
AC004595.1	-1	ENST00000578020	21422368	7
AC004603.4	1	ENST00000425668	42821863	19
AC004655.1	1	ENST00000577230	24698122	X
AC004673.1	-1	ENST00000408859	23120905	X
AC004674.1	-1	ENST00000614980	13297761	X
AC004699.1	1	ENST00000411269	15052930	19
AC004702.2	1	ENST00000580225	20185082	17
AC004745.1	-1	ENST00000408265	97291596	7
AC004769.1	-1	ENST00000578911	130277693	5
AC004775.5	-1	ENST00000607389	132818000	5
AC004791.2	-1	ENST00000588182	15862975	19
AC004791.2	-1	ENST00000589345	15864904	19
AC004812.1	-1	ENST00000582675	120172126	12
AC004819.1	1	ENST00000621448	29883860	22
AC004824.1	-1	ENST00000583469	17413694	1
AC004832.1	1	ENST00000620858	30411646	22
AC004837.1	-1	ENST00000614669	39685098	7
AC004840.8	1	ENST00000443103	2384121	7
AC004840.9	1	ENST00000313156	2437763	7
AC004846.1	-1	ENST00000616607	73208463	14
AC004850.1	-1	ENST00000618873	38704315	7
AC004851.1	1	ENST00000516569	74571347	7
AC004869.2	-1	ENST00000440935	46481578	7
AC004869.3	-1	ENST00000436501	46477940	7
AC004870.3	-1	ENST00000455078	47079113	7
AC004870.3	-1	ENST00000412996	47079128	7
AC004870.4	1	ENST00000445615	46969702	7
AC004870.4	1	ENST00000423781	46969716	7
AC004870.4	1	ENST00000438639	46969721	7
AC004875.1	-1	ENST00000408763	121574754	7
AC004895.1	-1	ENST00000620871	6185360	7
AC004895.4	1	ENST00000435547	6081103	7
AC004895.4	1	ENST00000436915	6081103	7
AC004895.4	1	ENST00000428901	6081671	7
AC004901.1	-1	ENST00000424359	46900932	7
AC004901.1	-1	ENST00000433337	47049678	7
AC004915.1	-1	ENST00000618419	120009701	7
AC004920.3	-1	ENST00000422831	50841992	7
AC004924.1	1	ENST00000408626	67933214	11
AC004943.1	-1	ENST00000584072	72787773	16
AC004947.2	1	ENST00000420912	26551822	7
AC004947.2	1	ENST00000457000	26551839	7
AC004947.2	1	ENST00000430426	26551896	7
AC004951.6	-1	ENST00000447643	44007866	7
AC004969.1	1	ENST00000411097	90171341	7
AC004980.1	-1	ENST00000408322	76697654	7
AC004984.1	-1	ENST00000611389	3840590	7
AC005000.1	1	ENST00000580961	115703812	X
AC005008.2	1	ENST00000431501	81175508	7
AC005008.2	1	ENST00000447776	81187790	7
AC005013.5	1	ENST00000436594	28957667	7
AC005019.3	-1	ENST00000434321	13859025	7
AC005020.1	1	ENST00000584735	99586915	7
AC005037.2	-1	ENST00000408603	200843299	2
AC005042.5	1	ENST00000449526	158685903	2
AC005048.1	-1	ENST00000401266	108036936	7
AC005052.1	-1	ENST00000611483	119810359	X
AC005071.1	-1	ENST00000410550	100220120	7
AC005071.2	1	ENST00000611818	100372544	7
AC005082.12	1	ENST00000413042	23206013	7
AC005083.1	1	ENST00000439058	20217577	7
AC005083.1	1	ENST00000430859	20217586	7
AC005083.1	1	ENST00000439446	20219439	7
AC005088.1	-1	ENST00000580604	102238406	7
AC005150.1	1	ENST00000512831	162740668	4
AC005150.2	-1	ENST00000617315	162742677	4
AC005150.3	-1	ENST00000619657	162709655	4
AC005152.3	-1	ENST00000430908	72025962	17
AC005152.3	-1	ENST00000543512	72034092	17
AC005154.6	-1	ENST00000440438	30550781	7
AC005154.6	-1	ENST00000582838	30552220	7
AC005154.6	-1	ENST00000578293	30561516	7
AC005154.6	-1	ENST00000577889	30561519	7
AC005154.6	-1	ENST00000578572	30561703	7
AC005154.6	-1	ENST00000434399	30562825	7
AC005154.6	-1	ENST00000580902	30563998	7
AC005154.6	-1	ENST00000355837	30564617	7
AC005154.6	-1	ENST00000621272	30568994	7
AC005154.6	-1	ENST00000579024	30573013	7
AC005154.6	-1	ENST00000584621	30573088	7
AC005154.6	-1	ENST00000582145	30573100	7
AC005154.6	-1	ENST00000614950	30573148	7
AC005154.6	-1	ENST00000584108	30573782	7
AC005154.6	-1	ENST00000584023	30576742	7
AC005154.6	-1	ENST00000578245	30577759	7
AC005154.6	-1	ENST00000454922	30585972	7
AC005154.6	-1	ENST00000426529	30594743	7
AC005154.6	-1	ENST00000582549	30594758	7
AC005154.6	-1	ENST00000580440	30594760	7
AC005154.6	-1	ENST00000581665	30594760	7
AC005154.6	-1	ENST00000583664	30594760	7
AC005154.6	-1	ENST00000584372	30594763	7
AC005154.6	-1	ENST00000581794	30594769	7
AC005154.6	-1	ENST00000584199	30594769	7
AC005154.6	-1	ENST00000582733	30594795	7
AC005154.6	-1	ENST00000579174	30594808	7
AC005154.6	-1	ENST00000578994	30594809	7
AC005158.1	-1	ENST00000615070	42218514	7
AC005159.1	1	ENST00000408335	82290077	7
AC005161.1	1	ENST00000408352	110928318	7
AC005187.1	1	ENST00000618703	110298484	4
AC005195.1	-1	ENST00000579330	133625948	5
AC005204.1	-1	ENST00000621350	42673680	19
AC005224.2	1	ENST00000458492	14210488	17
AC005227.1	1	ENST00000614552	72070845	14
AC005229.1	-1	ENST00000578165	148730928	7
AC005235.1	-1	ENST00000451266	198314714	2
AC005235.1	-1	ENST00000456248	198374549	2
AC005235.1	-1	ENST00000443261	198375097	2
AC005256.1	1	ENST00000586506	1748056	19
AC005256.1	1	ENST00000592934	1748160	19
AC005276.1	1	ENST00000411856	125917871	7
AC005281.1	1	ENST00000418428	12496429	7
AC005281.1	1	ENST00000443874	12504399	7
AC005281.1	1	ENST00000424453	12504424	7
AC005284.1	1	ENST00000408774	11053788	17
AC005288.1	-1	ENST00000584584	39297489	17
AC005301.8	-1	ENST00000422917	16748645	22
AC005304.1	-1	ENST00000457609	13940594	17
AC005306.3	1	ENST00000587498	1989401	19
AC005306.3	1	ENST00000588480	1989903	19
AC005307.1	-1	ENST00000567877	28429490	19
AC005307.3	-1	ENST00000585697	28466682	19
AC005307.3	-1	ENST00000591920	28466693	19
AC005307.3	-1	ENST00000592716	28468384	19
AC005307.3	-1	ENST00000593065	28535277	19
AC005307.3	-1	ENST00000590072	28724340	19
AC005307.3	-1	ENST00000592347	28727680	19
AC005307.3	-1	ENST00000586528	28727777	19
AC005324.7	-1	ENST00000433051	15763769	17
AC005330.2	1	ENST00000590086	1321225	19
AC005355.1	1	ENST00000513329	134436711	5
AC005355.2	1	ENST00000515627	134506552	5
AC005356.1	-1	ENST00000576080	4328340	16
AC005363.11	-1	ENST00000618631	1971896	16
AC005375.1	-1	ENST00000578401	13500328	17
AC005382.1	-1	ENST00000618414	32477355	19
AC005392.13	1	ENST00000419624	43153279	19
AC005394.1	-1	ENST00000585394	28648303	19
AC005412.1	1	ENST00000620402	29301154	17
AC005487.2	1	ENST00000440208	108598375	7
AC005498.3	-1	ENST00000601933	56538315	19
AC005498.3	-1	ENST00000587920	56538375	19
AC005498.3	-1	ENST00000590579	56538418	19
AC005498.3	-1	ENST00000593218	56538431	19
AC005498.3	-1	ENST00000590613	56538575	19
AC005498.4	1	ENST00000592125	56535299	19
AC005513.1	-1	ENST00000516368	13376013	19
AC005522.7	-1	ENST00000434531	76976961	7
AC005523.3	-1	ENST00000598782	4791207	19
AC005532.5	1	ENST00000430266	7255154	7
AC005532.5	1	ENST00000436578	7266908	7
AC005532.5	1	ENST00000447039	7271408	7
AC005537.2	-1	ENST00000588324	42963343	7
AC005537.2	-1	ENST00000585996	43048062	7
AC005537.2	-1	ENST00000609382	43059550	7
AC005538.1	-1	ENST00000615649	234012265	2
AC005546.2	1	ENST00000591837	13131571	19
AC005549.1	1	ENST00000578120	34174220	17
AC005549.2	-1	ENST00000583716	34183135	17
AC005550.5	-1	ENST00000438923	15690854	7
AC005562.1	1	ENST00000583030	30576464	17
AC005562.1	1	ENST00000398849	30576508	17
AC005562.1	1	ENST00000578265	30607566	17
AC005562.1	1	ENST00000431308	30607646	17
AC005562.1	1	ENST00000440026	30607658	17
AC005592.1	1	ENST00000432677	142745600	5
AC005592.3	1	ENST00000566527	142703782	5
AC005606.14	-1	ENST00000564438	1986853	16
AC005606.14	-1	ENST00000565041	1990357	16
AC005606.15	1	ENST00000567515	1997654	16
AC005614.5	-1	ENST00000595508	40090925	19
AC005616.1	-1	ENST00000589999	28632728	19
AC005616.2	1	ENST00000592931	28509238	19
AC005618.6	1	ENST00000606901	141326210	5
AC005618.6	1	ENST00000606674	141326240	5
AC005621.1	-1	ENST00000580268	32500941	19
AC005624.2	-1	ENST00000587826	2462185	19
AC005631.1	1	ENST00000408527	152439221	7
AC005668.1	-1	ENST00000620223	6296746	17
AC005682.5	1	ENST00000415611	22854178	7
AC005682.5	1	ENST00000432668	22856086	7
AC005682.5	1	ENST00000422542	22856528	7
AC005686.1	-1	ENST00000584326	34313045	7
AC005701.1	-1	ENST00000584990	11741464	17
AC005702.1	-1	ENST00000581326	60042442	17
AC005702.2	-1	ENST00000577558	60042882	17
AC005702.3	-1	ENST00000582298	60042772	17
AC005702.4	-1	ENST00000583144	60042627	17
AC005703.2	-1	ENST00000453339	15279477	17
AC005703.3	-1	ENST00000431343	15272290	17
AC005725.1	-1	ENST00000517193	11267379	17
AC005754.8	1	ENST00000606030	141118680	5
AC005757.7	-1	ENST00000589594	45150605	19
AC005772.2	1	ENST00000446671	15014805	17
AC005780.1	-1	ENST00000591926	28386171	19
AC005780.1	-1	ENST00000592311	28386178	19
AC005780.1	-1	ENST00000587140	28386204	19
AC005783.1	-1	ENST00000579411	4726379	19
AC005785.2	1	ENST00000597549	15379076	19
AC005785.2	1	ENST00000597164	15379312	19
AC005786.5	1	ENST00000592368	3558015	19
AC005789.11	1	ENST00000588453	38398181	19
AC005808.3	1	ENST00000444112	53608354	20
AC005828.1	-1	ENST00000610465	63362093	17
AC005863.1	-1	ENST00000379640	14780203	17
AC005863.2	1	ENST00000445035	14834638	17
AC005901.1	-1	ENST00000616674	61485801	17
AC005926.1	-1	ENST00000582731	30315178	X
AC006000.5	-1	ENST00000456809	13365049	7
AC006007.1	-1	ENST00000422084	145681369	7
AC006026.1	-1	ENST00000411343	23669354	7
AC006037.2	1	ENST00000437967	234109081	2
AC006041.1	-1	ENST00000425322	15842360	7
AC006050.2	-1	ENST00000582291	30574252	17
AC006050.2	-1	ENST00000584763	30574420	17
AC006050.2	-1	ENST00000436477	30577000	17
AC006076.1	-1	ENST00000423233	53801318	20
AC006115.1	-1	ENST00000580221	56719287	19
AC006116.1	-1	ENST00000580957	56396401	19
AC006116.21	-1	ENST00000586010	56364997	19
AC006116.21	-1	ENST00000591630	56365949	19
AC006116.21	-1	ENST00000591036	56368053	19
AC006126.4	-1	ENST00000590022	45245370	19
AC006129.1	1	ENST00000599316	41531206	19
AC006129.1	1	ENST00000599770	41531287	19
AC006129.2	1	ENST00000595649	41545192	19
AC006129.2	1	ENST00000595395	41549520	19
AC006129.2	1	ENST00000601116	41549520	19
AC006130.1	-1	ENST00000579582	2872430	19
AC006145.1	-1	ENST00000579035	81920270	7
AC006150.2	1	ENST00000408501	14775406	7
AC006196.1	1	ENST00000447194	194730595	2
AC006227.1	-1	ENST00000455614	107365543	2
AC006227.1	-1	ENST00000443123	107365873	2
AC006262.4	-1	ENST00000600152	46174029	19
AC006262.4	-1	ENST00000599127	46180647	19
AC006262.5	-1	ENST00000601263	46202929	19
AC006262.5	-1	ENST00000598754	46202966	19
AC006262.5	-1	ENST00000594027	46203034	19
AC006262.5	-1	ENST00000598518	46203062	19
AC006262.5	-1	ENST00000595673	46203083	19
AC006262.5	-1	ENST00000599817	46203083	19
AC006272.1	-1	ENST00000594725	51843324	19
AC006272.2	-1	ENST00000596964	51840945	19
AC006273.4	-1	ENST00000606966	781862	19
AC006273.5	1	ENST00000606242	782755	19
AC006273.5	1	ENST00000586061	782796	19
AC006288.1	1	ENST00000616497	119511669	9
AC006296.1	-1	ENST00000507932	14409078	4
AC006296.2	1	ENST00000514401	14390439	4
AC006322.1	-1	ENST00000411062	83919703	7
AC006328.1	1	ENST00000516662	25460010	Y
AC006328.2	-1	ENST00000612245	25498059	Y
AC006328.3	1	ENST00000616095	25456723	Y
AC006369.3	1	ENST00000431712	37744333	2
AC006371.1	-1	ENST00000516885	13668056	Y
AC006372.4	1	ENST00000444158	157466231	7
AC006372.5	1	ENST00000449903	157501322	7
AC006373.1	1	ENST00000451755	9961024	7
AC006377.1	1	ENST00000411138	31794248	7
AC006380.1	1	ENST00000408824	31316998	7
AC006380.3	-1	ENST00000433356	31421286	7
AC006382.1	1	ENST00000622586	15520739	Y
AC006432.1	1	ENST00000580721	9546968	12
AC006452.1	1	ENST00000408805	140580287	7
AC006458.3	1	ENST00000445093	15066207	7
AC006461.1	1	ENST00000408240	72170559	2
AC006478.1	-1	ENST00000610333	51870402	7
AC006480.1	1	ENST00000584839	67356680	7
AC006482.1	1	ENST00000448898	17679549	7
AC006483.1	-1	ENST00000579427	5528186	7
AC006487.1	-1	ENST00000516980	49561085	17
AC006534.1	1	ENST00000410616	67813582	17
AC006534.2	1	ENST00000579808	67843945	17
AC006534.3	1	ENST00000614674	67720543	17
AC006539.1	-1	ENST00000578235	20027117	19
AC006552.1	-1	ENST00000508484	54607131	4
AC006557.1	-1	ENST00000516425	14118702	18
AC006925.1	1	ENST00000621750	56236720	17
AC006926.1	1	ENST00000410294	118462499	7
AC006946.15	1	ENST00000428078	17121586	22
AC006946.15	1	ENST00000441544	17121595	22
AC006946.16	1	ENST00000608373	17067821	22
AC006946.17	1	ENST00000609791	17080701	22
AC006988.1	1	ENST00000390184	88640521	7
AC006994.3	-1	ENST00000583251	210171391	2
AC007003.1	1	ENST00000472463	76902491	7
AC007003.1	1	ENST00000439318	76911105	7
AC007005.1	-1	ENST00000619280	101787921	2
AC007006.1	1	ENST00000615857	59565835	2
AC007009.2	1	ENST00000577980	8154916	7
AC007036.6	-1	ENST00000430537	30179014	7
AC007040.1	1	ENST00000581030	71017024	2
AC007040.2	1	ENST00000585144	71012331	2
AC007040.3	-1	ENST00000578856	71013157	2
AC007050.1	1	ENST00000582098	20657035	22
AC007056.1	-1	ENST00000459199	78397959	14
AC007064.24	1	ENST00000442403	16869478	22
AC007091.1	1	ENST00000412563	19353534	7
AC007096.1	-1	ENST00000411120	29088311	7
AC007103.1	-1	ENST00000610308	31755997	4
AC007106.1	-1	ENST00000509666	27985063	4
AC007126.1	-1	ENST00000508202	13782157	4
AC007131.1	1	ENST00000409590	59217708	2
AC007131.2	-1	ENST00000451416	59249511	2
AC007131.2	-1	ENST00000440521	59249567	2
AC007131.2	-1	ENST00000443306	59249672	2
AC007131.2	-1	ENST00000434611	59388159	2
AC007131.2	-1	ENST00000444001	59388365	2
AC007131.2	-1	ENST00000435557	59733331	2
AC007131.2	-1	ENST00000412409	59733396	2
AC007131.3	-1	ENST00000408726	59241702	2
AC007161.5	-1	ENST00000599208	7741120	7
AC007161.5	-1	ENST00000418534	7742573	7
AC007163.1	-1	ENST00000622385	200675945	2
AC007163.3	-1	ENST00000452787	200735177	2
AC007179.1	1	ENST00000415159	59435213	2
AC007179.2	-1	ENST00000516646	59533075	2
AC007193.1	-1	ENST00000613564	46269017	19
AC007193.6	1	ENST00000597989	46101122	19
AC007204.2	1	ENST00000592245	19900968	19
AC007216.1	-1	ENST00000583357	11915738	16
AC007228.5	1	ENST00000599726	56672268	19
AC007228.9	-1	ENST00000602145	56673901	19
AC007241.1	1	ENST00000516630	18282853	Y
AC007242.1	1	ENST00000408447	201841129	2
AC007249.3	1	ENST00000404616	10452319	2
AC007250.4	1	ENST00000454367	58275877	2
AC007251.2	-1	ENST00000611915	102895722	2
AC007283.5	1	ENST00000434645	201166965	2
AC007285.1	-1	ENST00000614676	29993241	7
AC007317.1	1	ENST00000420187	40746487	2
AC007326.10	-1	ENST00000624224	18959512	22
AC007333.1	-1	ENST00000408588	52255549	16
AC007339.1	1	ENST00000408207	49679220	16
AC007339.2	1	ENST00000620982	49680190	16
AC007349.4	1	ENST00000419326	36750687	7
AC007349.5	1	ENST00000415356	36781008	7
AC007358.1	-1	ENST00000408562	201953336	2
AC007359.6	-1	ENST00000417910	22105869	Y
AC007359.6	-1	ENST00000419158	22147484	Y
AC007364.1	-1	ENST00000433174	149857685	2
AC007364.1	-1	ENST00000295052	149859191	2
AC007365.1	1	ENST00000445738	64606975	2
AC007365.1	1	ENST00000417695	64607361	2
AC007365.2	1	ENST00000517273	64776104	2
AC007365.3	1	ENST00000439964	64644612	2
AC007367.1	1	ENST00000614117	58527842	2
AC007375.1	1	ENST00000622686	77244287	14
AC007381.1	-1	ENST00000614040	60417905	2
AC007381.2	-1	ENST00000441598	60383036	2
AC007381.2	-1	ENST00000453476	60391375	2
AC007381.3	-1	ENST00000457668	60353016	2
AC007383.3	1	ENST00000420509	206084605	2
AC007383.3	1	ENST00000435627	206085522	2
AC007386.2	-1	ENST00000449259	64905137	2
AC007389.3	-1	ENST00000420724	65640177	2
AC007389.4	1	ENST00000583614	65667256	2
AC007391.1	-1	ENST00000617132	37458659	2
AC007391.2	1	ENST00000433893	37325340	2
AC007392.3	1	ENST00000433396	66574030	2
AC007392.3	1	ENST00000423168	66689868	2
AC007392.3	1	ENST00000435389	66691435	2
AC007392.3	1	ENST00000428590	66691438	2
AC007392.3	1	ENST00000412944	66691446	2
AC007392.4	-1	ENST00000432410	66703197	2
AC007392.4	-1	ENST00000451698	66703197	2
AC007392.4	-1	ENST00000433432	66703227	2
AC007402.1	-1	ENST00000410760	51435218	2
AC007403.1	-1	ENST00000444266	66922457	2
AC007403.2	1	ENST00000426260	66904436	2
AC007403.2	1	ENST00000411701	66921694	2
AC007403.3	1	ENST00000427579	67040546	2
AC007405.4	-1	ENST00000624287	170727855	2
AC007405.4	-1	ENST00000623667	170729440	2
AC007405.4	-1	ENST00000624200	170743956	2
AC007405.4	-1	ENST00000442456	170770766	2
AC007405.4	-1	ENST00000623867	170770768	2
AC007422.1	1	ENST00000433065	67562067	2
AC007435.1	-1	ENST00000580447	175034590	2
AC007436.1	1	ENST00000390208	9127871	12
AC007450.1	-1	ENST00000408201	11542045	12
AC007461.2	1	ENST00000419257	72072333	17
AC007463.2	-1	ENST00000416607	7897750	2
AC007463.2	-1	ENST00000416534	7899655	2
AC007486.1	-1	ENST00000390743	121332638	X
AC007511.1	1	ENST00000618745	62143542	4
AC007528.1	-1	ENST00000401104	16409331	12
AC007528.2	1	ENST00000616665	16388101	12
AC007535.1	-1	ENST00000516636	13587984	12
AC007551.1	1	ENST00000408229	35842889	7
AC007557.1	1	ENST00000456163	216870772	2
AC007557.3	1	ENST00000451711	216868012	2
AC007560.2	-1	ENST00000401149	50799055	2
AC007563.1	-1	ENST00000418591	216873932	2
AC007563.3	1	ENST00000434973	216799608	2
AC007567.1	1	ENST00000582403	108358307	7
AC007611.1	1	ENST00000408066	48651331	16
AC007631.1	1	ENST00000578545	65186159	18
AC007652.1	-1	ENST00000441150	35510263	7
AC007680.2	-1	ENST00000416262	51221764	2
AC007680.2	-1	ENST00000447773	51221764	2
AC007682.1	1	ENST00000440698	51032601	2
AC007682.2	1	ENST00000606281	50961245	2
AC007682.3	1	ENST00000622068	50943286	2
AC007731.1	-1	ENST00000578704	20483316	22
AC007750.1	-1	ENST00000617843	162121816	2
AC007773.1	-1	ENST00000581176	32377367	19
AC007795.1	1	ENST00000585883	28869796	19
AC007842.1	-1	ENST00000408306	39992039	19
AC007879.1	1	ENST00000435643	207173634	2
AC007879.2	-1	ENST00000417096	207235883	2
AC007879.2	-1	ENST00000448786	207236066	2
AC007879.3	-1	ENST00000440545	207237875	2
AC007879.4	1	ENST00000454444	207226949	2
AC007879.6	1	ENST00000438824	207260445	2
AC007879.7	1	ENST00000440326	207239650	2
AC007879.7	1	ENST00000430494	207239811	2
AC007880.1	-1	ENST00000445865	64863626	2
AC007881.1	1	ENST00000578636	71125523	2
AC007881.2	1	ENST00000582706	71039307	2
AC007919.1	-1	ENST00000579277	172671639	3
AC007948.1	-1	ENST00000581632	65125710	18
AC007950.1	-1	ENST00000560465	63469351	15
AC007950.2	-1	ENST00000615045	63503083	15
AC007952.4	-1	ENST00000460772	19174428	17
AC007952.4	-1	ENST00000495691	19174436	17
AC007952.5	1	ENST00000399091	19092974	17
AC007952.5	1	ENST00000399093	19093192	17
AC007952.5	1	ENST00000574724	19094917	17
AC007998.1	-1	ENST00000618213	35466991	18
AC008045.1	1	ENST00000408251	78617866	14
AC008060.7	1	ENST00000401499	155382076	7
AC008060.8	-1	ENST00000419225	155457099	7
AC008063.3	1	ENST00000432251	162093429	2
AC008069.1	1	ENST00000423925	16728124	2
AC008069.1	1	ENST00000448650	16728124	2
AC008074.4	1	ENST00000436433	64486353	2
AC008085.1	-1	ENST00000517002	131852774	7
AC008088.4	-1	ENST00000563569	20530881	17
AC008103.3	-1	ENST00000614596	18894407	22
AC008132.15	1	ENST00000342888	18733914	22
AC008132.15	1	ENST00000611876	18756348	22
AC008154.5	-1	ENST00000453087	134350791	7
AC008163.4	-1	ENST00000412900	81561783	7
AC008169.1	1	ENST00000611399	214042312	2
AC008175.1	1	ENST00000446299	22438940	Y
AC008175.1	1	ENST00000439653	22480537	Y
AC008268.1	1	ENST00000425887	95666084	2
AC008269.2	1	ENST00000438070	206866795	2
AC008271.1	1	ENST00000492352	15690782	2
AC008271.1	1	ENST00000436967	15700401	2
AC008271.1	1	ENST00000476839	15700531	2
AC008281.1	-1	ENST00000438659	219904889	2
AC008391.1	-1	ENST00000577951	56457138	5
