#Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name,Chromosome Name,Strand,Transcription Start Site (TSS),APPRIS principal isoform annotation
ENSMUSG00000024797,ENSMUST00000025711,Vps51,19,-1,6077197,APPRIS principal isoform [04-11-2014]
ENSMUSG00000063929,ENSMUST00000084342,Cyp4a32,4,1,115600975,APPRIS principal isoform [04-11-2014]
ENSMUSG00000050108,ENSMUST00000061699,Bpifc,10,-1,86011895,APPRIS principal isoform [04-11-2014]
ENSMUSG00000031273,ENSMUST00000101205,Col4a6,X,-1,141474076,APPRIS principal isoform [04-11-2014]
ENSMUSG00000042712,ENSMUST00000048687,Wbp5,X,1,136245079,APPRIS principal isoform [04-11-2014]
ENSMUSG00000042712,ENSMUST00000113115,Wbp5,X,1,136245683,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079523,ENSMUST00000114050,Tmsb10,6,-1,72958488,APPRIS principal isoform [04-11-2014]
ENSMUSG00000036181,ENSMUST00000040914,Hist1h1c,13,1,23738808,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079523,ENSMUST00000114049,Tmsb10,6,-1,72958302,APPRIS principal isoform [04-11-2014]
ENSMUSG00000025780,ENSMUST00000026886,Itih5,2,1,10153571,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068614,ENSMUST00000090269,Actc1,2,-1,114052887,APPRIS principal isoform [04-11-2014]
ENSMUSG00000073926,ENSMUST00000098174,Olfr653,7,1,104579624,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079523,ENSMUST00000114048,Tmsb10,6,-1,72958748,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023046,ENSMUST00000023807,Igfbp6,15,1,102144362,APPRIS principal isoform [04-11-2014]
ENSMUSG00000055602,ENSMUST00000086787,Tcp10b,17,1,13061104,APPRIS principal isoform [04-11-2014]
ENSMUSG00000055602,ENSMUST00000116666,Tcp10b,17,1,13061124,APPRIS principal isoform [04-11-2014]
ENSMUSG00000078184,ENSMUST00000104983,B020018G12Rik,1,-1,175979114,APPRIS principal isoform [04-11-2014]
ENSMUSG00000043439,ENSMUST00000052281,E130012A19Rik,11,-1,97629702,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094464,ENSMUST00000071437,Olfr339,2,1,36421400,APPRIS principal isoform [04-11-2014]
ENSMUSG00000061356,ENSMUST00000150897,Nuggc,14,1,65598546,APPRIS principal isoform [04-11-2014]
ENSMUSG00000101337,ENSMUST00000189749,Dnah7c,1,1,46425592,APPRIS principal isoform [04-11-2014]
ENSMUSG00000100667,ENSMUST00000188244,Gm21563,Y,1,61102247,APPRIS principal isoform [04-11-2014]
ENSMUSG00000074203,ENSMUST00000098571,G430095P16Rik,8,1,84723007,APPRIS principal isoform [04-11-2014]
ENSMUSG00000066324,ENSMUST00000084949,Impad1,4,-1,4793355,APPRIS principal isoform [04-11-2014]
ENSMUSG00000050192,ENSMUST00000060500,Eif5a2,3,1,28781276,APPRIS principal isoform [04-11-2014]
ENSMUSG00000067704,ENSMUST00000088260,Wfdc13,2,1,164685107,APPRIS principal isoform [04-11-2014]
ENSMUSG00000078491,ENSMUST00000105667,Gm13090,4,1,151089570,APPRIS principal isoform [04-11-2014]
ENSMUSG00000019872,ENSMUST00000020022,Smpdl3a,10,1,57794374,APPRIS principal isoform [04-11-2014]
ENSMUSG00000081512,ENSMUST00000121995,Gm15821,17,-1,34214459,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029866,ENSMUST00000031899,Kel,6,-1,41704339,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095064,ENSMUST00000170931,Vmn1r135,7,1,21832351,APPRIS principal isoform [04-11-2014]
ENSMUSG00000070509,ENSMUST00000094312,Rgma,7,1,73375520,APPRIS principal isoform [04-11-2014]
ENSMUSG00000030603,ENSMUST00000032824,Psmc4,7,-1,28050101,APPRIS principal isoform [04-11-2014]
ENSMUSG00000059645,ENSMUST00000074148,Gm7361,5,1,26257691,APPRIS principal isoform [04-11-2014]
ENSMUSG00000046321,ENSMUST00000084628,Hs3st2,7,1,121392296,APPRIS principal isoform [04-11-2014]
ENSMUSG00000066677,ENSMUST00000085876,Pydc3,1,1,173673680,APPRIS principal isoform [04-11-2014]
ENSMUSG00000066677,ENSMUST00000169857,Pydc3,1,1,173677686,APPRIS principal isoform [04-11-2014]
ENSMUSG00000075092,ENSMUST00000099785,Olfr1232,2,-1,89326178,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095850,ENSMUST00000178121,Gm17361,X,1,125004163,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047363,ENSMUST00000102853,Cstad,2,1,30595040,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028647,ENSMUST00000030400,Mycbp,4,1,123904832,APPRIS principal isoform [04-11-2014]
ENSMUSG00000073943,ENSMUST00000098195,Olfr625-ps1,7,1,103682720,APPRIS principal isoform [04-11-2014]
ENSMUSG00000021506,ENSMUST00000021968,Pitx1,13,-1,55831425,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068815,ENSMUST00000090708,Olfr1143,2,1,87802391,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095034,ENSMUST00000179916,Gm17577,X,-1,123246907,APPRIS principal isoform [04-11-2014]
ENSMUSG00000042364,ENSMUST00000109241,Snx18,13,-1,113618564,APPRIS principal isoform [04-11-2014]
ENSMUSG00000039962,ENSMUST00000045493,Olfr906,9,1,38488031,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037393,ENSMUST00000037682,Nmur2,11,-1,56041010,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028020,ENSMUST00000029654,Glrb,3,-1,80913660,APPRIS principal isoform [04-11-2014]
ENSMUSG00000051306,ENSMUST00000053287,Usp42,5,-1,143732280,APPRIS principal isoform [04-11-2014]
ENSMUSG00000051648,ENSMUST00000167294,Kctd19,8,-1,105413502,APPRIS principal isoform [04-11-2014]
ENSMUSG00000096256,ENSMUST00000084677,Gm21093,4,-1,42034726,APPRIS principal isoform [04-11-2014]
ENSMUSG00000006998,ENSMUST00000007212,Psmd2,16,1,20651652,APPRIS principal isoform [04-11-2014]
ENSMUSG00000054497,ENSMUST00000067597,Tas2r130,6,-1,131630912,APPRIS principal isoform [04-11-2014]
ENSMUSG00000075012,ENSMUST00000099678,Fjx1,2,-1,102452499,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029029,ENSMUST00000030895,Wrap73,4,1,154142372,APPRIS principal isoform [04-11-2014]
ENSMUSG00000102388,ENSMUST00000195574,CH36-86D6.3,Y,1,69321132,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095765,ENSMUST00000071932,Olfr741,14,1,50485460,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095316,ENSMUST00000096511,Gm21876,X,-1,21175653,APPRIS principal isoform [04-11-2014]
ENSMUSG00000033126,ENSMUST00000049185,Ybey,10,-1,76469114,APPRIS principal isoform [04-11-2014]
ENSMUSG00000091764,ENSMUST00000169125,Zfp964,8,1,69659263,APPRIS principal isoform [04-11-2014]
ENSMUSG00000100079,ENSMUST00000071378,Ifnab,4,-1,88691359,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094962,ENSMUST00000179544,Gm21954,3,-1,55472210,APPRIS principal isoform [04-11-2014]
ENSMUSG00000040009,ENSMUST00000037813,Gnaz,10,1,74967177,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095236,ENSMUST00000074499,Olfr38,6,1,42762054,APPRIS principal isoform [04-11-2014]
ENSMUSG00000040009,ENSMUST00000159991,Gnaz,10,1,74990841,APPRIS principal isoform [04-11-2014]
ENSMUSG00000069379,ENSMUST00000091905,Gm4950,18,-1,51865881,APPRIS principal isoform [04-11-2014]
ENSMUSG00000031438,ENSMUST00000113026,Rnf128,X,1,139610620,APPRIS principal isoform [04-11-2014]
ENSMUSG00000021062,ENSMUST00000021459,Rab15,12,-1,76822553,APPRIS principal isoform [04-11-2014]
ENSMUSG00000021549,ENSMUST00000109552,Rasa1,13,-1,85289029,APPRIS principal isoform [04-11-2014]
ENSMUSG00000062518,ENSMUST00000117638,Zfp534,4,-1,147702553,APPRIS principal isoform [04-11-2014]
ENSMUSG00000060397,ENSMUST00000144578,Zfp128,7,1,12881177,APPRIS principal isoform [04-11-2014]
ENSMUSG00000027709,ENSMUST00000029259,Mccc1,3,-1,36000678,APPRIS principal isoform [04-11-2014]
ENSMUSG00000073960,ENSMUST00000098211,Olfr583,7,1,103051300,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068814,ENSMUST00000090707,Olfr1145,2,1,87809822,APPRIS principal isoform [04-11-2014]
ENSMUSG00000025410,ENSMUST00000026479,Dctn2,10,1,127266262,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029650,ENSMUST00000118527,Slc46a3,5,-1,147894815,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047228,ENSMUST00000060574,BC048546,6,-1,128581606,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029650,ENSMUST00000031655,Slc46a3,5,-1,147894815,APPRIS principal isoform [04-11-2014]
ENSMUSG00000020387,ENSMUST00000020655,Jade2,11,-1,51857653,APPRIS principal isoform [04-11-2014]
ENSMUSG00000043911,ENSMUST00000051004,Olfr922,9,1,38815408,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024767,ENSMUST00000025679,Otub1,19,-1,7206316,APPRIS principal isoform [04-11-2014]
ENSMUSG00000071984,ENSMUST00000097425,Fndc1,17,-1,7804974,APPRIS principal isoform [04-11-2014]
ENSMUSG00000020387,ENSMUST00000109091,Jade2,11,-1,51857396,APPRIS principal isoform [04-11-2014]
ENSMUSG00000015342,ENSMUST00000015486,Xk,X,1,9272756,APPRIS principal isoform [04-11-2014]
ENSMUSG00000025574,ENSMUST00000026661,Tk1,11,-1,117826092,APPRIS principal isoform [04-11-2014]
ENSMUSG00000036934,ENSMUST00000047749,4921524J17Rik,8,-1,85432841,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024597,ENSMUST00000115366,Slc12a2,18,1,57878678,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094203,ENSMUST00000178952,Gm17267,X,1,126017557,APPRIS principal isoform [04-11-2014]
ENSMUSG00000021572,ENSMUST00000036456,Cep72,13,-1,74062285,APPRIS principal isoform [04-11-2014]
ENSMUSG00000039954,ENSMUST00000045477,Stk32a,18,1,43207697,APPRIS principal isoform [04-11-2014]
ENSMUSG00000005054,ENSMUST00000005185,Cstb,10,1,78425670,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024561,ENSMUST00000097530,Mbd1,18,1,74268272,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024664,ENSMUST00000115995,Fads3,19,1,10041548,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068182,ENSMUST00000089305,Olfr203,16,1,59303152,APPRIS principal isoform [04-11-2014]
ENSMUSG00000004934,ENSMUST00000005064,Pias4,10,-1,81167923,APPRIS principal isoform [04-11-2014]
ENSMUSG00000095383,ENSMUST00000168326,Vmn1r152,7,1,22522967,APPRIS principal isoform [04-11-2014]
ENSMUSG00000090129,ENSMUST00000170618,Olfr287,15,-1,98221056,APPRIS principal isoform [04-11-2014]
ENSMUSG00000045776,ENSMUST00000055662,Lrtm1,14,1,29018208,APPRIS principal isoform [04-11-2014]
ENSMUSG00000045954,ENSMUST00000051572,Sdpr,1,1,51289126,APPRIS principal isoform [04-11-2014]
ENSMUSG00000002679,ENSMUST00000161211,Med6,12,-1,81595006,APPRIS principal isoform [04-11-2014]
ENSMUSG00000075553,ENSMUST00000100453,Gm5464,14,1,66868850,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028184,ENSMUST00000106128,Lphn2,3,-1,148954635,APPRIS principal isoform [04-11-2014]
ENSMUSG00000091318,ENSMUST00000171322,Gm5415,1,-1,32547294,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094564,ENSMUST00000179973,Gm21870,X,-1,33986816,APPRIS principal isoform [04-11-2014]
ENSMUSG00000022844,ENSMUST00000023550,Pdia5,16,-1,35490873,APPRIS principal isoform [04-11-2014]
ENSMUSG00000026443,ENSMUST00000027706,Lrrn2,1,1,132880273,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029436,ENSMUST00000031390,Mmp17,5,1,129584169,APPRIS principal isoform [04-11-2014]
ENSMUSG00000045757,ENSMUST00000059199,Zfp764,7,-1,127406822,APPRIS principal isoform [04-11-2014]
ENSMUSG00000037997,ENSMUST00000039680,Parp11,6,1,127453723,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024785,ENSMUST00000064393,Rcl1,19,1,29101375,APPRIS principal isoform [04-11-2014]
ENSMUSG00000042774,ENSMUST00000039718,Olfr1353,10,1,78963309,APPRIS principal isoform [04-11-2014]
ENSMUSG00000075045,ENSMUST00000099726,Gm4981,10,-1,58236699,APPRIS principal isoform [04-11-2014]
ENSMUSG00000092225,ENSMUST00000174558,Gm2381,7,-1,42867234,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029272,ENSMUST00000031201,Sult1e1,5,-1,87591611,APPRIS principal isoform [04-11-2014]
ENSMUSG00000075184,ENSMUST00000099888,F930017D23Rik,10,1,43593427,APPRIS principal isoform [04-11-2014]
ENSMUSG00000045867,ENSMUST00000053594,Cradd,10,-1,95324097,APPRIS principal isoform [04-11-2014]
ENSMUSG00000080933,ENSMUST00000119965,Rhox3g,X,-1,37628612,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094361,ENSMUST00000179069,Gm21657,X,1,32894625,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023104,ENSMUST00000023867,Rfc2,5,1,134582690,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023961,ENSMUST00000024757,Enpp4,17,-1,44105809,APPRIS principal isoform [04-11-2014]
ENSMUSG00000041712,ENSMUST00000046404,Ubr7,12,1,102757975,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023961,ENSMUST00000143137,Enpp4,17,-1,44105764,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023020,ENSMUST00000023761,Cox14,15,1,99725618,APPRIS principal isoform [04-11-2014]
ENSMUSG00000021797,ENSMUST00000022325,9230112D13Rik,14,-1,34522801,APPRIS principal isoform [04-11-2014]
ENSMUSG00000050138,ENSMUST00000055221,Kcnk12,17,-1,87797994,APPRIS principal isoform [04-11-2014]
ENSMUSG00000034023,ENSMUST00000036340,Fancd2,6,1,113531682,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028584,ENSMUST00000052458,Lrrc38,4,1,143349757,APPRIS principal isoform [04-11-2014]
ENSMUSG00000029409,ENSMUST00000031356,U90926,5,-1,92215408,APPRIS principal isoform [04-11-2014]
ENSMUSG00000097025,ENSMUST00000180559,Gm26558,2,-1,70662108,APPRIS principal isoform [04-11-2014]
ENSMUSG00000043671,ENSMUST00000051377,Dpy19l3,7,-1,35754454,APPRIS principal isoform [04-11-2014]
ENSMUSG00000079597,ENSMUST00000114858,Gm5483,16,1,36184212,APPRIS principal isoform [04-11-2014]
ENSMUSG00000094678,ENSMUST00000077023,Olfr857,9,1,19712829,APPRIS principal isoform [04-11-2014]
ENSMUSG00000035033,ENSMUST00000048934,Tbr1,2,1,61804453,APPRIS principal isoform [04-11-2014]
ENSMUSG00000100485,ENSMUST00000187477,Gm20920,Y,1,51852120,APPRIS principal isoform [04-11-2014]
ENSMUSG00000066500,ENSMUST00000085422,Izumo2,7,1,44708743,APPRIS principal isoform [04-11-2014]
ENSMUSG00000074170,ENSMUST00000098513,Plekhf1,7,-1,38227994,APPRIS principal isoform [04-11-2014]
ENSMUSG00000061707,ENSMUST00000071421,Gm4871,5,-1,145032764,APPRIS principal isoform [04-11-2014]
ENSMUSG00000026358,ENSMUST00000189061,Rgs1,1,-1,144249242,APPRIS principal isoform [04-11-2014]
ENSMUSG00000026248,ENSMUST00000027464,Mrpl44,1,1,79776018,APPRIS principal isoform [04-11-2014]
ENSMUSG00000078872,ENSMUST00000134614,Gm14401,2,1,177080256,APPRIS principal isoform [04-11-2014]
ENSMUSG00000078872,ENSMUST00000108970,Gm14401,2,1,177074320,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028890,ENSMUST00000106193,Mtf1,4,1,124802104,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023902,ENSMUST00000095595,Zscan10,17,1,23600856,APPRIS principal isoform [04-11-2014]
ENSMUSG00000090298,ENSMUST00000165904,Gm4794,10,-1,33782115,APPRIS principal isoform [04-11-2014]
ENSMUSG00000028890,ENSMUST00000030723,Mtf1,4,1,124802549,APPRIS principal isoform [04-11-2014]
ENSMUSG00000049708,ENSMUST00000057811,Olfr27,9,1,39128167,APPRIS principal isoform [04-11-2014]
ENSMUSG00000022685,ENSMUST00000058884,Parn,16,-1,13668170,APPRIS principal isoform [04-11-2014]
ENSMUSG00000054046,ENSMUST00000066834,Klk13,7,1,43712567,APPRIS principal isoform [04-11-2014]
ENSMUSG00000048191,ENSMUST00000189314,Muc6,7,-1,141655319,APPRIS principal isoform [04-11-2014]
ENSMUSG00000023140,ENSMUST00000023906,Reg2,6,1,78405155,APPRIS principal isoform [04-11-2014]
ENSMUSG00000043383,ENSMUST00000060562,Olfr1342,4,-1,118690450,APPRIS principal isoform [04-11-2014]
ENSMUSG00000004939,ENSMUST00000005069,Nmrk2,10,-1,81202037,APPRIS principal isoform [04-11-2014]
ENSMUSG00000047676,ENSMUST00000057740,Rpsa-ps10,3,-1,150073620,APPRIS principal isoform [04-11-2014]
ENSMUSG00000049420,ENSMUST00000066049,Tmem200a,10,-1,26079052,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024261,ENSMUST00000025110,Syt4,18,-1,31447415,APPRIS principal isoform [04-11-2014]
ENSMUSG00000001911,ENSMUST00000109764,Nfix,8,-1,84773396,APPRIS principal isoform [04-11-2014]
ENSMUSG00000071234,ENSMUST00000095550,Syndig1l,12,-1,84698807,APPRIS principal isoform [04-11-2014]
ENSMUSG00000022031,ENSMUST00000022609,Elp3,14,-1,65593112,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024912,ENSMUST00000025850,Fosl1,19,1,5447703,APPRIS principal isoform [04-11-2014]
ENSMUSG00000027499,ENSMUST00000028999,Pkia,3,1,7366670,APPRIS principal isoform [04-11-2014]
ENSMUSG00000070283,ENSMUST00000074208,Ndufaf3,9,-1,108567434,APPRIS principal isoform [04-11-2014]
ENSMUSG00000027499,ENSMUST00000193330,Pkia,3,1,7429058,APPRIS principal isoform [04-11-2014]
ENSMUSG00000039910,ENSMUST00000038107,Cited2,10,1,17723228,APPRIS principal isoform [04-11-2014]
ENSMUSG00000051671,ENSMUST00000059093,Coa6,8,1,126422501,APPRIS principal isoform [04-11-2014]
ENSMUSG00000097221,ENSMUST00000180521,1810049J17Rik,15,-1,12321899,APPRIS principal isoform [04-11-2014]
ENSMUSG00000049436,ENSMUST00000057767,Upk1b,16,-1,38800203,APPRIS principal isoform [04-11-2014]
ENSMUSG00000002957,ENSMUST00000003038,Ap2a2,7,1,141562180,APPRIS principal isoform [04-11-2014]
ENSMUSG00000043827,ENSMUST00000055324,Olfr94,17,-1,37198011,APPRIS principal isoform [04-11-2014]
ENSMUSG00000068615,ENSMUST00000090275,Gjd2,2,-1,114013619,APPRIS principal isoform [04-11-2014]
ENSMUSG00000024258,ENSMUST00000025106,Polr2d,18,1,31789159,APPRIS principal isoform [04-11-2014]
