#Ensembl Gene ID,Ensembl Transcript ID,Associated Gene Name,Chromosome Name,Strand,Transcription Start Site (TSS),APPRIS principal isoform annotation
ENSG00000226887,ENST00000443173,ERVMER34-1,4,-1,52751640,APPRIS principal isoform [04-11-2014]
ENSG00000116497,ENST00000373475,S100PBP,1,1,32817555,APPRIS principal isoform [04-11-2014]
ENSG00000226887,ENST00000440542,ERVMER34-1,4,-1,52751399,APPRIS principal isoform [04-11-2014]
ENSG00000198258,ENST00000358666,UBL5,19,1,9827892,APPRIS principal isoform [04-11-2014]
ENSG00000198258,ENST00000590068,UBL5,19,1,9827894,APPRIS principal isoform [04-11-2014]
ENSG00000254995,ENST00000530122,STX16-NPEPL1,20,1,58651434,APPRIS principal isoform [04-11-2014]
ENSG00000084092,ENST00000264230,NOA1,4,-1,56978823,APPRIS principal isoform [04-11-2014]
ENSG00000273173,ENST00000577949,SNURF,15,1,24954986,APPRIS principal isoform [04-11-2014]
ENSG00000094841,ENST00000373383,UPRT,X,1,75274088,APPRIS principal isoform [04-11-2014]
ENSG00000133328,ENST00000255695,HRASLS2,11,-1,63563383,APPRIS principal isoform [04-11-2014]
ENSG00000273173,ENST00000580062,SNURF,15,1,24955004,APPRIS principal isoform [04-11-2014]
ENSG00000168263,ENST00000382082,KCNV2,9,1,2717502,APPRIS principal isoform [04-11-2014]
ENSG00000144550,ENST00000383832,CPNE9,3,1,9703807,APPRIS principal isoform [04-11-2014]
ENSG00000119396,ENST00000373840,RAB14,9,-1,121201869,APPRIS principal isoform [04-11-2014]
ENSG00000162385,ENST00000371470,MAGOH,1,-1,53238610,APPRIS principal isoform [04-11-2014]
ENSG00000165424,ENST00000372336,ZCCHC24,10,-1,79445627,APPRIS principal isoform [04-11-2014]
ENSG00000273173,ENST00000338327,SNURF,15,1,24955014,APPRIS principal isoform [04-11-2014]
ENSG00000107140,ENST00000336395,TESK1,9,1,35605370,APPRIS principal isoform [04-11-2014]
ENSG00000177047,ENST00000380229,IFNW1,9,-1,21142145,APPRIS principal isoform [04-11-2014]
ENSG00000078142,ENST00000262039,PIK3C3,18,1,41955206,APPRIS principal isoform [04-11-2014]
ENSG00000173914,ENST00000525754,RBM4B,11,-1,66677748,APPRIS principal isoform [04-11-2014]
ENSG00000078902,ENST00000317204,TOLLIP,11,-1,1309622,APPRIS principal isoform [04-11-2014]
ENSG00000111701,ENST00000229304,APOBEC1,12,-1,7665893,APPRIS principal isoform [04-11-2014]
ENSG00000227729,ENST00000557640,RD3L,14,-1,103942308,APPRIS principal isoform [04-11-2014]
ENSG00000107140,ENST00000620767,TESK1,9,1,35605305,APPRIS principal isoform [04-11-2014]
ENSG00000243444,ENST00000314527,PALM2,9,1,109780439,APPRIS principal isoform [04-11-2014]
ENSG00000173914,ENST00000310046,RBM4B,11,-1,66677921,APPRIS principal isoform [04-11-2014]
ENSG00000023734,ENST00000419869,STRAP,12,1,15882395,APPRIS principal isoform [04-11-2014]
ENSG00000011523,ENST00000377990,CEP68,2,1,65056372,APPRIS principal isoform [04-11-2014]
ENSG00000262180,ENST00000574641,OCLM,1,1,186400572,APPRIS principal isoform [04-11-2014]
ENSG00000164086,ENST00000495880,DUSP7,3,-1,52056550,APPRIS principal isoform [04-11-2014]
ENSG00000087250,ENST00000200691,MT3,16,1,56589368,APPRIS principal isoform [04-11-2014]
ENSG00000213463,ENST00000256366,SYNJ2BP,14,-1,70417045,APPRIS principal isoform [04-11-2014]
ENSG00000186766,ENST00000388920,FOXI2,10,1,127737235,APPRIS principal isoform [04-11-2014]
ENSG00000183760,ENST00000331256,PAPL;,19,1,39084305,APPRIS principal isoform [04-11-2014]
ENSG00000113494,ENST00000618457,PRLR,5,-1,35230589,APPRIS principal isoform [04-11-2014]
ENSG00000172315,ENST00000372114,TP53RK,20,-1,46689779,APPRIS principal isoform [04-11-2014]
ENSG00000111726,ENST00000229329,CMAS,12,1,22046174,APPRIS principal isoform [04-11-2014]
ENSG00000158526,ENST00000375151,TSR2,X,1,54440401,APPRIS principal isoform [04-11-2014]
ENSG00000162757,ENST00000294811,C1orf74,1,-1,209784559,APPRIS principal isoform [04-11-2014]
ENSG00000184108,ENST00000332517,TRIML1,4,1,188139419,APPRIS principal isoform [04-11-2014]
ENSG00000186462,ENST00000373517,NAP1L2,X,-1,73214848,APPRIS principal isoform [04-11-2014]
ENSG00000203857,ENST00000369413,HSD3B1,1,1,119507203,APPRIS principal isoform [04-11-2014]
ENSG00000015153,ENST00000534854,YAF2,12,-1,42238248,APPRIS principal isoform [04-11-2014]
ENSG00000211880,ENST00000390528,TRAJ9,14,1,22535554,APPRIS principal isoform [04-11-2014]
ENSG00000279680,ENST00000624654,HSFY2,Y,1,18546788,APPRIS principal isoform [04-11-2014]
ENSG00000152443,ENST00000317178,ZNF776,19,1,57746796,APPRIS principal isoform [04-11-2014]
ENSG00000280031,ENST00000624157,AC007379.1,Y,-1,18773618,APPRIS principal isoform [04-11-2014]
ENSG00000188582,ENST00000340634,PAQR9,3,-1,142963682,APPRIS principal isoform [04-11-2014]
ENSG00000279448,ENST00000623135,FKSG54,7,-1,23638536,APPRIS principal isoform [04-11-2014]
ENSG00000278984,ENST00000623457,RBMY1B,Y,1,21513351,APPRIS principal isoform [04-11-2014]
ENSG00000150636,ENST00000360242,CCDC102B,18,1,68798080,APPRIS principal isoform [04-11-2014]
ENSG00000279309,ENST00000624283,RBMY1D,Y,-1,21892513,APPRIS principal isoform [04-11-2014]
ENSG00000203857,ENST00000528909,HSD3B1,1,1,119507318,APPRIS principal isoform [04-11-2014]
ENSG00000029364,ENST00000336643,SLC39A9,14,1,69398692,APPRIS principal isoform [04-11-2014]
ENSG00000280343,ENST00000623769,RBMY1E,Y,-1,21916054,APPRIS principal isoform [04-11-2014]
ENSG00000211817,ENST00000390465,TRAV38-2DV8,14,1,22281105,APPRIS principal isoform [04-11-2014]
ENSG00000280151,ENST00000623475,FKSG59,8,1,128118011,APPRIS principal isoform [04-11-2014]
ENSG00000205213,ENST00000379214,LGR4,11,-1,27472746,APPRIS principal isoform [04-11-2014]
ENSG00000278968,ENST00000623571,PRY2,Y,-1,22084839,APPRIS principal isoform [04-11-2014]
ENSG00000278888,ENST00000623055,AC090154.1,8,-1,66675916,APPRIS principal isoform [04-11-2014]
ENSG00000206560,ENST00000399451,ANKRD28,3,-1,15859771,APPRIS principal isoform [04-11-2014]
ENSG00000280386,ENST00000623132,RBMY1F,Y,-1,22180969,APPRIS principal isoform [04-11-2014]
ENSG00000189320,ENST00000444083,FAM180A,7,-1,135748619,APPRIS principal isoform [04-11-2014]
ENSG00000115263,ENST00000418842,GCG,2,-1,162152403,APPRIS principal isoform [04-11-2014]
ENSG00000109705,ENST00000382438,NKX3-2,4,-1,13545050,APPRIS principal isoform [04-11-2014]
ENSG00000279323,ENST00000623819,RBMY1J,Y,1,22405448,APPRIS principal isoform [04-11-2014]
ENSG00000206560,ENST00000412318,ANKRD28,3,-1,15859422,APPRIS principal isoform [04-11-2014]
ENSG00000105717,ENST00000251203,PBX4,19,-1,19618916,APPRIS principal isoform [04-11-2014]
ENSG00000279634,ENST00000624525,DAZ2,Y,1,23219741,APPRIS principal isoform [04-11-2014]
ENSG00000165684,ENST00000298532,SNAPC4,9,-1,136398797,APPRIS principal isoform [04-11-2014]
ENSG00000029364,ENST00000555840,SLC39A9,14,1,69398738,APPRIS principal isoform [04-11-2014]
ENSG00000168062,ENST00000301887,BATF2,11,-1,64997045,APPRIS principal isoform [04-11-2014]
ENSG00000279867,ENST00000624257,AC068601.1,Y,-1,24047688,APPRIS principal isoform [04-11-2014]
ENSG00000150636,ENST00000319445,CCDC102B,18,1,68734732,APPRIS principal isoform [04-11-2014]
ENSG00000134070,ENST00000256458,IRAK2,3,1,10164865,APPRIS principal isoform [04-11-2014]
ENSG00000167136,ENST00000372642,ENDOG,9,1,128818474,APPRIS principal isoform [04-11-2014]
ENSG00000279787,ENST00000623034,CDY1,Y,-1,24047688,APPRIS principal isoform [04-11-2014]
ENSG00000189320,ENST00000415751,FAM180A,7,-1,135748712,APPRIS principal isoform [04-11-2014]
ENSG00000258873,ENST00000554048,DUXA,19,-1,57167443,APPRIS principal isoform [04-11-2014]
ENSG00000197769,ENST00000357246,MAP1LC3C,1,-1,241999073,APPRIS principal isoform [04-11-2014]
ENSG00000280045,ENST00000623110,DAZ1,Y,-1,24813185,APPRIS principal isoform [04-11-2014]
ENSG00000115263,ENST00000375497,GCG,2,-1,162152404,APPRIS principal isoform [04-11-2014]
ENSG00000279012,ENST00000624187,OR51B2,11,-1,5324297,APPRIS principal isoform [04-11-2014]
ENSG00000280253,ENST00000623472,OR52B4,11,-1,4368295,APPRIS principal isoform [04-11-2014]
ENSG00000176170,ENST00000545180,SPHK1,17,1,76376661,APPRIS principal isoform [04-11-2014]
ENSG00000279012,ENST00000624064,OR51B2,11,-1,5324352,APPRIS principal isoform [04-11-2014]
ENSG00000189320,ENST00000338588,FAM180A,7,-1,135748846,APPRIS principal isoform [04-11-2014]
ENSG00000186994,ENST00000330915,KANK3,19,-1,8343262,APPRIS principal isoform [04-11-2014]
ENSG00000279627,ENST00000623009,C14orf182,14,-1,50005799,APPRIS principal isoform [04-11-2014]
ENSG00000211861,ENST00000390509,TRAJ28,14,1,22515623,APPRIS principal isoform [04-11-2014]
ENSG00000279402,ENST00000624940,C4orf3,4,-1,119300535,APPRIS principal isoform [04-11-2014]
ENSG00000173890,ENST00000355897,GPR160,3,1,170037929,APPRIS principal isoform [04-11-2014]
ENSG00000211840,ENST00000390488,TRAJ49,14,1,22489488,APPRIS principal isoform [04-11-2014]
ENSG00000280146,ENST00000625126,RPS4Y2,Y,1,20756164,APPRIS principal isoform [04-11-2014]
ENSG00000169220,ENST00000408923,RGS14,5,1,177357837,APPRIS principal isoform [04-11-2014]
ENSG00000279564,ENST00000625021,BPY2B,Y,1,24626085,APPRIS principal isoform [04-11-2014]
ENSG00000279258,ENST00000624972,BPY2C,Y,-1,25044023,APPRIS principal isoform [04-11-2014]
ENSG00000279765,ENST00000420239,CHD2,15,1,92901238,APPRIS principal isoform [04-11-2014]
ENSG00000267001,ENST00000586572,AC006538.4,19,-1,2740048,APPRIS principal isoform [04-11-2014]
ENSG00000168787,ENST00000383555,OR12D2,6,1,29396700,APPRIS principal isoform [04-11-2014]
ENSG00000176170,ENST00000592299,SPHK1,17,1,76384609,APPRIS principal isoform [04-11-2014]
ENSG00000151338,ENST00000327441,MIPOL1,14,1,37197950,APPRIS principal isoform [04-11-2014]
ENSG00000279651,ENST00000624754,C3orf35,3,1,37417267,APPRIS principal isoform [04-11-2014]
ENSG00000279483,ENST00000623936,RPL41,7,1,137513832,APPRIS principal isoform [04-11-2014]
ENSG00000211838,ENST00000390486,TRAJ52,14,1,22486228,APPRIS principal isoform [04-11-2014]
ENSG00000069956,ENST00000261845,MAPK6,15,1,52019201,APPRIS principal isoform [04-11-2014]
ENSG00000279899,ENST00000625061,AC006157.2,Y,1,2953937,APPRIS principal isoform [04-11-2014]
ENSG00000100285,ENST00000310624,NEFH,22,1,29480230,APPRIS principal isoform [04-11-2014]
ENSG00000279008,ENST00000623563,AC006157.1,Y,1,2961091,APPRIS principal isoform [04-11-2014]
ENSG00000118620,ENST00000261560,ZNF430,19,1,21020620,APPRIS principal isoform [04-11-2014]
ENSG00000176102,ENST00000323959,CSTF3,11,-1,33161465,APPRIS principal isoform [04-11-2014]
ENSG00000211854,ENST00000390502,TRAJ35,14,1,22506644,APPRIS principal isoform [04-11-2014]
ENSG00000279760,ENST00000623101,TSPY4,Y,1,9337510,APPRIS principal isoform [04-11-2014]
ENSG00000136267,ENST00000407950,DGKB,7,-1,14902842,APPRIS principal isoform [04-11-2014]
ENSG00000280203,ENST00000624038,TSPY3,Y,1,9398467,APPRIS principal isoform [04-11-2014]
ENSG00000280170,ENST00000624569,FKSG68,21,-1,35898429,APPRIS principal isoform [04-11-2014]
ENSG00000280313,ENST00000623757,TSPY1;,Y,1,9467001,APPRIS principal isoform [04-11-2014]
ENSG00000108813,ENST00000240306,DLX4,17,1,49969174,APPRIS principal isoform [04-11-2014]
ENSG00000173193,ENST00000474629,PARP14,3,1,122680618,APPRIS principal isoform [04-11-2014]
ENSG00000166211,ENST00000551346,SPIC,12,1,101475421,APPRIS principal isoform [04-11-2014]
ENSG00000250264,ENST00000452392,TAP2,6,-1,32838822,APPRIS principal isoform [04-11-2014]
ENSG00000280084,ENST00000625187,DAZ1,Y,-1,23198800,APPRIS principal isoform [04-11-2014]
ENSG00000248919,ENST00000413834,ATP5J2-PTCD1,7,-1,99466164,APPRIS principal isoform [04-11-2014]
ENSG00000115364,ENST00000393909,MRPL19,2,1,75646783,APPRIS principal isoform [04-11-2014]
ENSG00000165171,ENST00000297873,WBSCR27,7,-1,73842535,APPRIS principal isoform [04-11-2014]
ENSG00000108688,ENST00000378569,CCL7,17,1,34270221,APPRIS principal isoform [04-11-2014]
ENSG00000280421,ENST00000624976,DAZ1,Y,1,23219741,APPRIS principal isoform [04-11-2014]
ENSG00000279195,ENST00000355096,PRAMEF6;,1,-1,12828663,APPRIS principal isoform [04-11-2014]
ENSG00000115364,ENST00000409374,MRPL19,2,1,75646803,APPRIS principal isoform [04-11-2014]
ENSG00000279178,ENST00000623076,C5orf64,5,1,61643364,APPRIS principal isoform [04-11-2014]
ENSG00000101311,ENST00000217289,FERMT1,20,-1,6123544,APPRIS principal isoform [04-11-2014]
ENSG00000180096,ENST00000321367,SEPT1,16,-1,30382850,APPRIS principal isoform [04-11-2014]
ENSG00000278904,ENST00000624559,AC010879.1,Y,1,14622120,APPRIS principal isoform [04-11-2014]
ENSG00000167861,ENST00000425042,HID1,17,-1,74972734,APPRIS principal isoform [04-11-2014]
ENSG00000170448,ENST00000381538,NFXL1,4,-1,47914616,APPRIS principal isoform [04-11-2014]
ENSG00000023330,ENST00000469224,ALAS1,3,1,52198086,APPRIS principal isoform [04-11-2014]
ENSG00000167114,ENST00000300456,SLC27A4,9,1,128340728,APPRIS principal isoform [04-11-2014]
ENSG00000280101,ENST00000623754,AC010889.1,Y,-1,19744534,APPRIS principal isoform [04-11-2014]
ENSG00000140675,ENST00000330498,SLC5A2,16,1,31483118,APPRIS principal isoform [04-11-2014]
ENSG00000185306,ENST00000543942,C12orf56,12,-1,64391192,APPRIS principal isoform [04-11-2014]
ENSG00000134240,ENST00000369406,HMGCS2,1,-1,119768894,APPRIS principal isoform [04-11-2014]
ENSG00000280358,ENST00000624262,AC010889.2,Y,-1,19744534,APPRIS principal isoform [04-11-2014]
ENSG00000176170,ENST00000392496,SPHK1,17,1,76385292,APPRIS principal isoform [04-11-2014]
ENSG00000023330,ENST00000394965,ALAS1,3,1,52198094,APPRIS principal isoform [04-11-2014]
ENSG00000148384,ENST00000371712,INPP5E,9,-1,136439822,APPRIS principal isoform [04-11-2014]
ENSG00000279194,ENST00000623081,DAZ1,Y,1,24834127,APPRIS principal isoform [04-11-2014]
ENSG00000133985,ENST00000256367,TTC9,14,1,70641787,APPRIS principal isoform [04-11-2014]
ENSG00000243317,ENST00000507606,C7orf73,7,1,135662521,APPRIS principal isoform [04-11-2014]
ENSG00000157181,ENST00000287859,C1orf27,1,1,186375869,APPRIS principal isoform [04-11-2014]
ENSG00000254318,ENST00000611846,C8orf87,8,-1,93166767,APPRIS principal isoform [04-11-2014]
ENSG00000023330,ENST00000310271,ALAS1,3,1,52198132,APPRIS principal isoform [04-11-2014]
ENSG00000279158,ENST00000624464,VCY1B,Y,-1,13986440,APPRIS principal isoform [04-11-2014]
ENSG00000170448,ENST00000507489,NFXL1,4,-1,47914539,APPRIS principal isoform [04-11-2014]
ENSG00000237289,ENST00000441322,CKMT1B,15,1,43593859,APPRIS principal isoform [04-11-2014]
ENSG00000279451,ENST00000623245,VCY,Y,1,14056290,APPRIS principal isoform [04-11-2014]
ENSG00000151338,ENST00000396294,MIPOL1,14,1,37197913,APPRIS principal isoform [04-11-2014]
ENSG00000023330,ENST00000484952,ALAS1,3,1,52198144,APPRIS principal isoform [04-11-2014]
ENSG00000123700,ENST00000535240,KCNJ2,17,1,70168673,APPRIS principal isoform [04-11-2014]
ENSG00000280442,ENST00000623142,AC010879.2,Y,1,14723149,APPRIS principal isoform [04-11-2014]
ENSG00000186889,ENST00000335390,TMEM17,2,-1,62506341,APPRIS principal isoform [04-11-2014]
ENSG00000189064,ENST00000362097,GAGE2A,X,1,49589529,APPRIS principal isoform [04-11-2014]
ENSG00000203666,ENST00000366523,EFCAB2,1,1,244969869,APPRIS principal isoform [04-11-2014]
ENSG00000126947,ENST00000372829,ARMCX1,X,1,101550531,APPRIS principal isoform [04-11-2014]
ENSG00000151338,ENST00000537471,MIPOL1,14,1,37219552,APPRIS principal isoform [04-11-2014]
ENSG00000227868,ENST00000566855,C1orf234,1,-1,23015773,APPRIS principal isoform [04-11-2014]
ENSG00000279037,ENST00000623203,C12orf79,12,-1,91993403,APPRIS principal isoform [04-11-2014]
ENSG00000107518,ENST00000355044,ATRNL1,10,1,115093625,APPRIS principal isoform [04-11-2014]
ENSG00000137080,ENST00000380225,IFNA21,9,-1,21166660,APPRIS principal isoform [04-11-2014]
ENSG00000279723,ENST00000623829,OR2F1,7,1,143959971,APPRIS principal isoform [04-11-2014]
ENSG00000083123,ENST00000356489,BCKDHB,6,1,80106647,APPRIS principal isoform [04-11-2014]
ENSG00000096088,ENST00000373025,PGC,6,-1,41747397,APPRIS principal isoform [04-11-2014]
ENSG00000123700,ENST00000243457,KCNJ2,17,1,70169535,APPRIS principal isoform [04-11-2014]
ENSG00000105229,ENST00000262971,PIAS4,19,1,4007646,APPRIS principal isoform [04-11-2014]
ENSG00000121318,ENST00000240619,TAS2R10,12,-1,10826358,APPRIS principal isoform [04-11-2014]
ENSG00000279545,ENST00000624574,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000168393,ENST00000305784,DTYMK,2,-1,241686991,APPRIS principal isoform [04-11-2014]
ENSG00000083123,ENST00000320393,BCKDHB,6,1,80106647,APPRIS principal isoform [04-11-2014]
ENSG00000280112,ENST00000623676,C12orf79,12,-1,91993403,APPRIS principal isoform [04-11-2014]
ENSG00000182307,ENST00000331434,C8orf33,8,1,145052378,APPRIS principal isoform [04-11-2014]
ENSG00000181518,ENST00000321355,OR8D4,11,1,123906146,APPRIS principal isoform [04-11-2014]
ENSG00000278940,ENST00000624799,TSPY8,Y,1,9357843,APPRIS principal isoform [04-11-2014]
ENSG00000212126,ENST00000506868,TAS2R50,12,-1,10986912,APPRIS principal isoform [04-11-2014]
ENSG00000237289,ENST00000300283,CKMT1B,15,1,43593054,APPRIS principal isoform [04-11-2014]
ENSG00000279986,ENST00000623940,AC234582.2,1,1,155188587,APPRIS principal isoform [04-11-2014]
ENSG00000135677,ENST00000543646,GNS,12,-1,64759406,APPRIS principal isoform [04-11-2014]
ENSG00000182179,ENST00000333486,UBA7,3,-1,49813946,APPRIS principal isoform [04-11-2014]
ENSG00000279890,ENST00000623790,DKFZP686J19100,16,-1,81181213,APPRIS principal isoform [04-11-2014]
ENSG00000279362,ENST00000624382,DKFZP686J19100,16,-1,81181213,APPRIS principal isoform [04-11-2014]
ENSG00000151465,ENST00000281141,CDC123,10,1,12195966,APPRIS principal isoform [04-11-2014]
ENSG00000279506,ENST00000624913,TSPY3,Y,1,9527926,APPRIS principal isoform [04-11-2014]
ENSG00000179600,ENST00000621500,GPHB5,14,-1,63318879,APPRIS principal isoform [04-11-2014]
ENSG00000256436,ENST00000390675,TAS2R31,12,-1,11031407,APPRIS principal isoform [04-11-2014]
ENSG00000170448,ENST00000329043,NFXL1,4,-1,47914667,APPRIS principal isoform [04-11-2014]
ENSG00000279898,ENST00000624744,AC007678.1,Y,1,20575872,APPRIS principal isoform [04-11-2014]
ENSG00000134389,ENST00000256785,CFHR5,1,1,196977556,APPRIS principal isoform [04-11-2014]
ENSG00000157837,ENST00000353487,SPPL3,12,-1,120904371,APPRIS principal isoform [04-11-2014]
ENSG00000279826,ENST00000623485,PRORY,Y,-1,21386263,APPRIS principal isoform [04-11-2014]
ENSG00000110975,ENST00000228567,SYT10,12,-1,33439819,APPRIS principal isoform [04-11-2014]
ENSG00000279915,ENST00000624740,DAZ1,Y,1,23219741,APPRIS principal isoform [04-11-2014]
ENSG00000179600,ENST00000314140,GPHB5,14,-1,63317849,APPRIS principal isoform [04-11-2014]
ENSG00000179776,ENST00000341529,CDH5,16,1,66366630,APPRIS principal isoform [04-11-2014]
ENSG00000122718,ENST00000625188,OR2S2,9,-1,35958098,APPRIS principal isoform [04-11-2014]
ENSG00000279316,ENST00000623258,C15orf32,15,1,92472149,APPRIS principal isoform [04-11-2014]
ENSG00000132801,ENST00000255152,ZSWIM3,20,1,45857617,APPRIS principal isoform [04-11-2014]
ENSG00000279257,ENST00000624159,C17orf100,17,1,6651914,APPRIS principal isoform [04-11-2014]
ENSG00000110435,ENST00000227868,PDHX,11,1,34916572,APPRIS principal isoform [04-11-2014]
ENSG00000112053,ENST00000490799,SLC26A8,6,-1,36024855,APPRIS principal isoform [04-11-2014]
ENSG00000275778,ENST00000536668,PRH1-PRR4,12,-1,11171598,APPRIS principal isoform [04-11-2014]
ENSG00000280342,ENST00000624977,PCDH11Y,Y,1,5056824,APPRIS principal isoform [04-11-2014]
ENSG00000279293,ENST00000622923,AC006156.1,Y,1,9467001,APPRIS principal isoform [04-11-2014]
ENSG00000267508,ENST00000614994,ZNF285,19,-1,44401589,APPRIS principal isoform [04-11-2014]
ENSG00000171956,ENST00000396057,FOXB1,15,1,60004222,APPRIS principal isoform [04-11-2014]
ENSG00000267508,ENST00000544719,ZNF285,19,-1,44401576,APPRIS principal isoform [04-11-2014]
ENSG00000279896,ENST00000623605,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000279823,ENST00000624729,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000174306,ENST00000309060,ZHX3,20,-1,41300078,APPRIS principal isoform [04-11-2014]
ENSG00000143742,ENST00000304786,SRP9,1,1,225777829,APPRIS principal isoform [04-11-2014]
ENSG00000165434,ENST00000298198,PGM2L1,11,-1,74398473,APPRIS principal isoform [04-11-2014]
ENSG00000278906,ENST00000624415,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000179364,ENST00000325438,PACS2,14,1,105314415,APPRIS principal isoform [04-11-2014]
ENSG00000112053,ENST00000355574,SLC26A8,6,-1,36024588,APPRIS principal isoform [04-11-2014]
ENSG00000160072,ENST00000308647,ATAD3B,1,1,1471769,APPRIS principal isoform [04-11-2014]
ENSG00000138134,ENST00000371926,STAMBPL1,10,1,88879734,APPRIS principal isoform [04-11-2014]
ENSG00000279596,ENST00000624483,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000128342,ENST00000249075,LIF,22,-1,30246851,APPRIS principal isoform [04-11-2014]
ENSG00000171014,ENST00000307033,OR4D5,11,1,123939543,APPRIS principal isoform [04-11-2014]
ENSG00000197779,ENST00000376954,ZNF81,X,1,47836902,APPRIS principal isoform [04-11-2014]
ENSG00000279449,ENST00000624950,UTY,Y,-1,13479665,APPRIS principal isoform [04-11-2014]
ENSG00000134987,ENST00000513710,WDR36,5,1,111092314,APPRIS principal isoform [04-11-2014]
ENSG00000174306,ENST00000559234,ZHX3,20,-1,41317602,APPRIS principal isoform [04-11-2014]
ENSG00000186732,ENST00000417669,MPPED1,22,1,43411196,APPRIS principal isoform [04-11-2014]
ENSG00000138134,ENST00000371924,STAMBPL1,10,1,88901075,APPRIS principal isoform [04-11-2014]
ENSG00000139722,ENST00000267202,VPS37B,12,-1,122896444,APPRIS principal isoform [04-11-2014]
ENSG00000181499,ENST00000321252,OR6T1,11,-1,123943873,APPRIS principal isoform [04-11-2014]
